"species_name","body_size","abdomen_length","hindwing","coloration_male","coloration_class","exuvia_length_min","exuvia_body_length","exuvia_caudal_lamellae_min","habitat","percher_flier","main_flight_period","sti","sti_sd","voltinism","overwintering_stage","oviposition_mode","larval_strategy","bern_convention","habitats_directive","endemic_europe","endemic_eu27","near_endemic_europe","redlist_2024_category","redlist_2024_criteria","eu27_redlist_2024_category","eu27_redlist_2024_criteria","population_trend","eoo_europe","aoo_europe","eoo_eu27","aoo_eu27"
"Erythromma viridulum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Gomphus graslinii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Gomphus pulchellus","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Gomphus schneiderii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as Gomphus vulgatissimus in its southern distribution range","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Gomphus simillimus","Dijkstra et al. 2020","Dijkstra et al. 2020; Suhling & Müller 1996","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Gomphus vulgatissimus","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura aralensis","NA","NA","NA","Boudot et al. 2021","expert opinion De  Knijf","NA","NA","NA","Boudot et al. 2021; De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","NA","literature information NA, but most likely same as other Ischnura species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura elegans","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura fountaineae","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","NA","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura genei","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","NA","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura graellsii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura hastata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura intermedia","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","De Knijf et al. 2016","De Knijf et al. 2016","De Knijf et al. 2016","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura pumilio","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura saharensis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","NA","literature information NA, but most likely same as other Ischnura species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ischnura senegalensis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","NA","literature information NA, but most likely same as other Ischnura species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lestes barbarus","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lestes dryas","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lestes macrostigma","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lestes sponsa","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lestes virens","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Leucorrhinia albifrons","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Leucorrhinia caudalis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Leucorrhinia dubia","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Leucorrhinia pectoralis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Leucorrhinia rubicunda","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Libellula depressa","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Libellula fulva","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Libellula quadrimaculata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Lindenia tetraphylla","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
